;Agrupacion;;;;;;;;;;;;;;
Id Circuito;APTITUD RENOVADORA;AUTODETERMINACIÓN Y LIBERTAD;AUTONOMISTA;DIGNIDAD POPULAR;FEDERAL;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;FRENTE DE TODOS;JUNTOS POR EL CAMBIO;LA LIBERTAD AVANZA;MOVIMIENTO AL SOCIALISMO;MOVIMIENTO LIBRES DEL SUR;POLÍTICA OBRERA;RENOVADOR FEDERAL;SOCIALISTA AUTÉNTICO;Total general
65;0,002396344;0,036446723;0,002396344;0,001337494;0,003399465;0,078577798;0,257523406;0,456531431;0,134195274;0,002284886;0,004123941;0,012148908;0,000557289;0,008080695;1
66;0,00211623;0,033534104;0,001736394;0,001248033;0,004286722;0,086060014;0,266644962;0,455640566;0,129795431;0,002658853;0,003852624;0,00472082;0,000813935;0,006891313;1
67;0,001963351;0,035013089;0,001926992;0,000908959;0,004762944;0,088532577;0,268215532;0,461314718;0,119546248;0,002326934;0,003381326;0,00418121;0,000472659;0,007453461;1
68;0,002126319;0,038982517;0,001968814;0,001220665;0,003583241;0,083989605;0,268821862;0,466727044;0,116238778;0,00200819;0,004213262;0,002598834;0,000275634;0,007245235;1
69;0,001038647;0,028792271;0,001690821;0,000821256;0,004275362;0,0597343;0,212004831;0,550555556;0,126425121;0,002125604;0,003864734;0,002657005;0,000338164;0,005676329;1
70;0,001737085;0,035516716;0,001950881;0,000988802;0,004462973;0,070953259;0,252999813;0,488708945;0,122718405;0,002271573;0,005398327;0,004436249;0,000641385;0,007215586;1
71;0,001745282;0,031880483;0,001722011;0,000605031;0,005561632;0,059549019;0,220021874;0,535941172;0,128522561;0,002257231;0,002815721;0,002862262;0,000372327;0,006143392;1
72;0,002311842;0,038684819;0,002209093;0,001232982;0,00590804;0,082712561;0,274595428;0,440893912;0,131723606;0,004058567;0,003750321;0,004880555;0,000462368;0,006575905;1
73;0,002479755;0,038436204;0,002479755;0,000542446;0,00495951;0,082684335;0,260413034;0,472470844;0,116238521;0,002479755;0,00395211;0,004339571;0,000271223;0,008252935;1
74;0,00394342;0,028346907;0,002486069;0,000685812;0,003686241;0,057436777;0,204343478;0,556250893;0,128018288;0,001914559;0,002400343;0,003229033;0,000342906;0,006915274;1
75;0,001920492;0,02906344;0,001920492;0,000768197;0,005121311;0,072274502;0,267652519;0,461942257;0,142756546;0,002688688;0,003712951;0,003264836;0,000256066;0,006657704;1
76;0,001751599;0,035235651;0,003136584;0,000692493;0,00570288;0,067497658;0,26587641;0,466699255;0,134669437;0,003625402;0,004765978;0,003340258;0,000570288;0,006436107;1
77;0,002143455;0,031890422;0,002195734;0,001202426;0,00679632;0,071152238;0,30661857;0,409713509;0,146852781;0,002613969;0,006012129;0,0050711;0,00083647;0,006900878;1
78;0,002286483;0,025622058;0,001681237;0,001681237;0,004572966;0,063214526;0,30934768;0,414794889;0,156489576;0,003564223;0,005648958;0,004774714;0,000605245;0,005716207;1
79;0,002593193;0,025877904;0,002701243;0,001134522;0,005672609;0,068611561;0,242895732;0,483792545;0,146893571;0,002863317;0,004430038;0,004970286;0,001134522;0,006428957;1
80;0,001697444;0,036160691;0,002314696;0,001080191;0,006738337;0,069955249;0,243145929;0,480376524;0,138881745;0,002623322;0,00421789;0,005092331;0,000257188;0,007458464;1
81;0,002142816;0,026582498;0,001100365;0,001216193;0,003764406;0,065500666;0,238952916;0,507036544;0,136908554;0,003996062;0,003185267;0,004517287;0,000810795;0,004285632;1
82;0,00229038;0,029675363;0,001892053;0,00169289;0,005825533;0,070205138;0,254232225;0,474606652;0,140509859;0,003535152;0,00338578;0,004779924;0,000746863;0,006622187;1
83;0,001752638;0,025945909;0,002061927;0,000962232;0,006323241;0,055912574;0,211759854;0,535791608;0,142376027;0,002543043;0,004845527;0,003333448;0,000240558;0,006151414;1
84;0,002640535;0,027461566;0,002347142;0,001173571;0,00487032;0,07370027;0,29562258;0,420431874;0,14657904;0,003109964;0,005809177;0,007980284;0,000704143;0,007569534;1
85;0,001488616;0,033450088;0,001926445;0,000700525;0,004728546;0,064886165;0,239054291;0,492294221;0,145621716;0,002714536;0,003415061;0,004115587;0,000437828;0,005166375;1
86;0,002881844;0,019058235;0,002555598;0,001604045;0,004757762;0,076015442;0,396443913;0,30074493;0,162824207;0,004132456;0,005247132;0,014952966;0,001033114;0,007748355;1
87;0,005482533;0,015721281;0,002483541;0,001757222;0,005623111;0,076896043;0,432604672;0,293081231;0,134837516;0,003983037;0,009535859;0,008645533;0,001804081;0,007544341;1
88;0,001980031;0,021990985;0,002064288;0,001474491;0,00779374;0,056662594;0,284113409;0,432784261;0,168976703;0,003875806;0,005603067;0,005392425;0,000547668;0,006740532;1
89;0,002943848;0,020043218;0,002724625;0,002019981;0,005762425;0,064106981;0,35161755;0,369264978;0,157276628;0,003006483;0,007594501;0,005762425;0,001064796;0,006811562;1
90;0,002803651;0,021370051;0,002554438;0,001915828;0,005420392;0,062147597;0,388726208;0,351313043;0,137737142;0,003987415;0,005747485;0,008504408;0,000996854;0,00677549;1
91;0,003647609;0,012211561;0,002378876;0,002061692;0,004599159;0,068115138;0,416461819;0,27476013;0,191103005;0,003806201;0,003489018;0,008643248;0,001744509;0,006978035;1
92;0,00317758;0,025212273;0,002969214;0,001302287;0,005782153;0,069229567;0,292337344;0,417304787;0,164348596;0,002500391;0,003802678;0,005573788;0,000729281;0,005730062;1
